,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[20, 25]","[0.90666, 1.13805]","[0.99321, 1.30174]","[1.07977, 1.46542]","[1.01794, 1.3485]","[0.95612, 1.23159]","[0.89429, 1.11467]","[0.83247, 0.99775]","[0.77064, 0.88083]","[0.70882, 0.76391]","[0.64699, 0.64699]","[0.73355, 0.81068]","[0.8201, 0.97437]"
"[25, 30]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]"
"[30, 35]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]"
"[35, 40]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]"
"[40, 45]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]"
"[45, 50]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]"
"[50, 55]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]"
"[55, 60]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]"
"[60, 65]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]"
"[65, 70]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]"
"[70, 75]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]","[0.0, 200.0]"
