,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[20, 25]","[0.05898, 1.49247]","[0.37562, 1.93638]","[0.0, 1.51083]","[0.0, 1.42054]","[0.0, 1.46486]","[0.0, 1.50919]","[0.0, 1.55351]","[0.0, 1.59784]","[0.0, 1.64217]","[0.0, 1.68649]","[0.0, 1.73082]","[0.0, 1.99281]"
"[25, 30]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]"
"[30, 35]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]"
"[35, 40]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]"
"[40, 45]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]"
"[45, 50]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]"
"[50, 55]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]"
"[55, 60]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]"
"[60, 65]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]"
"[65, 70]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]"
"[70, 75]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]"
"[75, 80]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]"
"[80, 85]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]"
"[85, 90]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]"
"[90, 95]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]"
"[95, 100]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]"
"[100, 125]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]","[0.0, 50.0]"
