,"[1, 1]","[2, 2]","[3, 3]","[4, 4]","[5, 5]","[6, 6]","[7, 7]","[8, 8]","[9, 9]","[10, 10]","[11, 11]","[12, 12]"
"[20, 25]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]"
"[25, 30]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]"
"[30, 35]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]"
"[35, 40]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]"
"[40, 45]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]"
"[45, 50]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]"
"[50, 55]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]"
"[55, 60]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]"
"[60, 65]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]"
"[65, 70]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]"
"[70, 75]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]"
"[75, 80]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]"
"[80, 85]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]"
"[85, 90]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]"
"[90, 95]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]"
"[95, 100]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]"
"[100, 125]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]","[0.0, 500.0]"
